,Title,Event_Date,Latitude,Longitude,ZIP
0,Wet Pets at River,2025-04-15 12:45:00,41.9739812,-87.7019591,60611.0
1,Tiny Tot Dance at Oriole,2025-04-15 11:10:00,41.9782824,-87.8144555,60656.0
2,Boot Camp at Harris,2025-04-15 18:00:00,41.7819343,-87.604879,60637.0
3,Group Training at Don Nash,2025-04-15 13:00:00,41.7657913,-87.5798235,60649.0
4,"Moms, Pops & Tots Interaction at Adams",2025-04-15 09:30:00,41.91680865,-87.65506268,60614.0
5,Park Cardio Cycling at Harris,2025-04-15 18:00:00,41.7819343,-87.604879,60637.0
6,Quilting at West Chatham,2025-04-15 10:00:00,41.7446685,-87.6319177,60620.0
7,Set Design at Munroe,2025-04-15 19:00:00,41.7025493,-87.687023,60655.0
8,Basketball - Open at Addams,2025-04-15 07:00:00,41.8623915,-87.6615673,60608.0
9,Girls Gymnastics Lev. 5 - 6 at Peterson Gymnastics,2025-04-15 18:30:00,41.9861619,-87.7267919,60611.0
10,Cardio Tennis Partnership at Hamlin,2025-04-15 07:30:00,41.9370863,-87.6805212,60618.0
11,Tennis 101 Partnership at Warren,2025-04-15 17:30:00,42.0021787,-87.6890062,60645.0
12,Soccer at West Lawn,2025-04-15 18:00:00,41.77446026,-87.72885025,60629.0
13,Yoga at Armour Square,2025-04-15 10:00:00,41.8341744,-87.6350089,60616.0
14,Intro to Flag Football (ASMG) at Gately,2025-04-15 17:00:00,41.70851588,-87.60317802,60628.0
15,Conditioning at Online,2025-04-15 06:30:00,41.97400868,-87.72234321,60625.0
16,Pickleball - Drills and Skills - Tactical at McFetridge,2025-04-15 12:00:00,41.9517076,-87.6970874,60618.0
17,Fun and Games at Washington,2025-04-15 14:30:00,41.7934569,-87.6155009,60615.0
18,Pickleball - Open at Chopin,2025-04-15 13:45:00,41.9432061,-87.762451,60641.0
19,Canvas Painting at Wilson (John P.),2025-04-15 15:00:00,41.8319671,-87.6546086,60608.0
20,Adaptive Weight Training (Blind-VI) at Horner,2025-04-15 16:30:00,41.960554,-87.6977103,60618.0
21,Aquatic Exercise II - Low Impact at Mann,2025-04-15 12:00:00,41.659128,-87.5490374,60633.0
22,Learn to Swim at Ping Tom,2025-04-15 19:00:00,41.8591184,-87.6325964,60616.0
23,DJ in the Park at Calumet,2025-04-15 19:00:00,41.7178298,-87.5306437,60617.0
24,Boxing Skills at Simons,2025-04-15 18:00:00,41.9115357,-87.7152608,60647.0
25,Go Grind Friday Nights at Grant,2025-04-15 16:00:00,41.87383827,-87.61918914,60601.0
26,Boxing at Loyola,2025-04-15 17:00:00,42.0108499,-87.6616126,60626.0
27,Seasonal Sports at Wentworth,2025-04-15 16:00:00,41.7902142,-87.7790243,60638.0
28,Little Artists at Pasteur,2025-04-15 11:30:00,41.7871479,-87.7324652,60629.0
29,Park Kids - Fall Winter Spring at Harrison,2025-04-15 15:00:00,41.8570523,-87.6718838,60608.0
30,Girls Gymnastics Lev. 1 at Garfield Gymnastics,2025-04-15 17:15:00,41.88290678,-87.71596961,60624.0
31,Go Run Chicago at Warren,2025-04-15 09:00:00,42.0021787,-87.6890062,60645.0
32,Parent & Tot Gymnastics at Jesse White Gymnastics,2025-04-15 12:00:00,41.896867,-87.63932,60654.0
33,Cardio Tennis Partnership at McKinley,2025-04-15 07:30:00,41.8237382,-87.6824446,60609.0
34,Cardio Line Dance at Kennicott,2025-04-15 18:30:00,41.8142767,-87.5973772,60653.0
35,Taste of Sports & Culture at Tuley,2025-04-15 16:30:00,41.7301281,-87.6112026,60619.0
36,Pilates at Sheil,2025-04-15 18:00:00,41.9456861,-87.663664,60657.0
