ZONE,Full_Street,WARD - LOW,WARD - HIGH
221,5900-5998 N HARDING AVE,,
382,4016-4046 S KOMENSKY AVE,,
221,5701-5799 N HARDING AVE,,
221,5700-5798 N HARDING AVE,,
221,5600-5698 N HARDING AVE,,
19,1201-1209 S AUSTIN BLVD,,
990,1307-1399 S CALIFORNIA AVE,,
1268,4601-4699 N WINTHROP AVE,46.0,46.0
5,1100-1198 S MAY ST,25.0,25.0
1377,8600-8698 S MARYLAND AVE,8.0,8.0
49,5804-5856 N NAPOLEON AVE,41.0,41.0
1040,901-999 N RACINE AVE,27.0,27.0
862,800-898 N RACINE AVE,27.0,27.0
101,5101-5157 W WINNEMAC AVE,45.0,45.0
601,2800-2898 W 22ND PL,12.0,12.0
95,2906-2910 N ALLEN AVE,35.0,35.0
362,4816-4880 W ST PAUL AVE,37.0,37.0
252,5000-5042 S CAMPBELL AVE,14.0,14.0
252,4601-4699 S TROY ST,14.0,14.0
1773,6000-6098 S KOLMAR AVE,13.0,13.0
95,2905-2911 N ALLEN AVE,35.0,35.0
671,9300-9398 S CONSTANCE AVE,8.0,8.0
510,4814-4856 N NORDICA AVE,41.0,41.0
1025,4701-4799 W ERIE ST,28.0,28.0
143,1900-1972 N ORCHARD ST,43.0,43.0
56,1101-1147 W NORTH SHORE AVE,49.0,49.0
817,2601-2699 W WALTON ST,26.0,26.0
95,3239-3555 W BELMONT AVE,35.0,35.0
1189,340-398 W ILLINOIS ST,42.0,42.0
143,415-457 W ROSLYN PL,43.0,43.0
423,9101-9157 S PAULINA ST,21.0,21.0
12,2039-2059 W 95TH ST,19.0,19.0
1741,1730-1730 W IRVING PARK RD,47.0,47.0
670,9300-9398 S CREGIER AVE,8.0,8.0
107,4700-4798 N LAWNDALE AVE,35.0,35.0
30,5514-5556 S OAK PARK AVE,23.0,23.0
154,1266-1272 N WOLCOTT AVE,1.0,1.0
93,2700-2742 N LAWNDALE AVE,35.0,35.0
383,3701-3799 N FREMONT ST,46.0,46.0
2002,4801-4899 S KOMENSKY AVE,14.0,14.0
2000,6964-6998 S SPRINGFIELD AVE,13.0,13.0
1,5714-5748 N CENTRAL PARK AVE,39.0,39.0
850,4201-4299 W 52ND ST,23.0,23.0
1734,7600-7652 S CORNELL AVE,8.0,8.0
1618,4310-4356 N LEAVITT ST,47.0,47.0
30,5515-5555 S NEWLAND AVE,23.0,23.0
1932,3837-3857 W ROSCOE ST,30.0,30.0
884,1001-1069 W FRY ST,27.0,27.0
2030,1763-1775 W CULLOM AVE,47.0,47.0
125,1808-1810 W 103RD ST,19.0,19.0
62,2148-2180 W EASTWOOD AVE,47.0,47.0
339,5501-5549 W DAKIN ST,38.0,38.0
1999,4633-4699 W 62ND ST,13.0,13.0
