Date,Temp_Avg,Temp_Min,Temp_Max,Precipitation,Snowfall,Wind_Direction,Wind_Speed,Pressure
2021-01-01,-2.9,-7.1,1.7,9.7,30.0,36.0,19.1,1017.3
2021-02-01,0.0,-2.1,1.7,0.0,50.0,358.0,10.1,1017.3
2021-03-01,-0.1,-3.2,0.6,0.8,50.0,289.0,11.2,1015.3
2021-04-01,-2.8,-4.3,-1.0,0.0,50.0,220.0,12.6,1015.4
2021-05-01,-0.6,-1.6,2.8,0.0,50.0,288.0,9.0,1019.6
2021-06-01,0.6,-0.5,3.9,0.0,50.0,21.0,7.6,1027.7
2021-07-01,1.8,0.6,3.3,0.0,50.0,35.0,14.8,1027.8
2021-08-01,1.0,-1.0,2.2,0.5,30.0,1.0,19.1,1025.0
2021-09-01,-0.3,-2.1,2.8,0.0,30.0,343.0,11.9,1026.1
2021-10-01,-1.7,-4.3,-1.6,0.0,30.0,289.0,9.4,1027.1
2021-11-01,-3.8,-5.5,-1.0,0.0,30.0,231.0,21.2,1024.2
2021-12-01,-0.7,-2.7,2.8,0.0,30.0,223.0,17.3,1017.9
2021-01-13,1.4,-0.5,5.0,0.0,30.0,220.0,13.7,1009.6
2021-01-14,2.4,0.0,4.4,3.6,0.0,173.0,14.8,1000.6
2021-01-15,1.9,-1.0,3.9,0.3,0.0,185.0,9.7,998.7
2021-01-16,0.6,-1.0,2.2,1.8,30.0,279.0,13.7,1003.2
2021-01-17,-0.1,-2.7,1.1,1.3,30.0,258.0,10.8,1006.5
2021-01-18,-2.0,-4.9,-1.0,0.0,30.0,259.0,14.8,1012.8
2021-01-19,-4.3,-6.6,0.0,1.3,30.0,252.0,16.2,1020.5
2021-01-20,-5.2,-10.5,1.1,0.0,30.0,230.0,20.9,1018.6
2021-01-21,1.1,-1.0,3.9,0.0,30.0,251.0,23.0,1007.2
2021-01-22,-5.1,-11.0,-1.0,0.0,0.0,296.0,16.6,1020.4
2021-01-23,-8.3,-12.1,-1.0,0.0,0.0,200.0,9.0,1027.7
2021-01-24,-1.3,-2.7,1.1,0.5,0.0,165.0,11.2,1019.6
2021-01-25,-0.6,-2.1,1.1,1.3,0.0,35.0,23.0,1015.6
2021-01-26,-0.6,-3.8,0.0,12.2,80.0,23.0,28.4,1012.8
2021-01-27,-4.3,-9.9,-2.7,0.0,150.0,345.0,18.0,1028.5
2021-01-28,-8.4,-13.2,-3.2,0.0,130.0,313.0,8.3,1036.7
2021-01-29,-5.6,-8.8,0.0,0.0,130.0,116.0,9.7,1029.6
2021-01-30,-0.8,-1.6,1.1,9.1,100.0,120.0,26.6,1017.7
2021-01-31,-0.7,-1.0,0.0,7.4,280.0,43.0,27.0,1013.9
2021-01-02,-1.4,-5.5,0.6,0.0,360.0,337.0,18.0,1022.8
2021-02-02,-3.3,-6.0,0.6,0.0,330.0,325.0,14.8,1024.2
2021-03-02,-3.6,-8.2,2.2,0.0,300.0,255.0,8.3,1019.8
2021-04-02,0.1,-7.1,3.9,7.9,280.0,189.0,24.5,1002.1
2021-05-02,-8.3,-13.2,-7.1,0.0,300.0,256.0,29.2,1005.7
